short_name,categories,character,unicode
3d_rotation,action,,e84d
ac_unit,places,,eb3b
access_alarm,device,,e190
access_alarms,device,,e191
access_time,device,,e192
accessibility,action,,e84e
accessible,action,,e914
account_balance,action,,e84f
account_balance_wallet,action,,e850
account_box,action,,e851
account_circle,action,,e853
adb,notification,,e60e
add,content,,e145
add_a_photo,image,,e439
add_alarm,device,,e193
add_alert,alert,,e003
add_box,content,,e146
add_circle,content,,e147
add_circle_outline,content,,e148
add_location,action,,e567
add_shopping_cart,action,,e854
add_to_photos,image,,e39d
add_to_queue,av,,e05c
adjust,image,,e39e
airline_seat_flat,notification,,e630
airline_seat_flat_angled,notification,,e631
airline_seat_individual_suite,notification,,e632
airline_seat_legroom_extra,notification,,e633
airline_seat_legroom_normal,notification,,e634
airline_seat_legroom_reduced,notification,,e635
airline_seat_recline_extra,notification,,e636
airline_seat_recline_normal,notification,,e637
airplanemode_active,device,,e195
airplanemode_inactive,device,,e194
airplay,av,,e055
airport_shuttle,places,,eb3c
alarm,action,,e855
alarm_add,action,,e856
alarm_off,action,,e857
alarm_on,action,,e858
album,av,,e019
all_inclusive,places,,eb3d
all_out,action,,e90b
android,action,,e859
announcement,action,,e85a
apps,navigation,,e5c3
archive,content,,e149
arrow_back,navigation,,e5c4
arrow_downward,navigation,,e5db
arrow_drop_down,navigation,,e5c5
arrow_drop_down_circle,navigation,,e5c6
arrow_drop_up,navigation,,e5c7
arrow_forward,navigation,,e5c8
arrow_upward,navigation,,e5d8
art_track,av,,e060
aspect_ratio,action,,e85b
assessment,action,,e85c
assignment,action,,e85d
assignment_ind,action,,e85e
assignment_late,action,,e85f
assignment_return,action,,e860
assignment_returned,action,,e861
assignment_turned_in,action,,e862
assistant,image,,e39f
assistant_photo,image,,e3a0
attach_file,editor,,e226
attach_money,editor,,e227
attachment,file,,e2bc
audiotrack,image,,e3a1
autorenew,action,,e863
av_timer,av,,e01b
backspace,content,,e14a
backup,action,,e864
battery_alert,device,,e19c
battery_charging_full,device,,e1a3
battery_full,device,,e1a4
battery_std,device,,e1a5
battery_unknown,device,,e1a6
beach_access,places,,eb3e
beenhere,maps,,e52d
block,content,,e14b
bluetooth,device,,e1a7
bluetooth_audio,notification,,e60f
bluetooth_connected,device,,e1a8
bluetooth_disabled,device,,e1a9
bluetooth_searching,device,,e1aa
blur_circular,image,,e3a2
blur_linear,image,,e3a3
blur_off,image,,e3a4
blur_on,image,,e3a5
book,action,,e865
bookmark,action,,e866
bookmark_border,action,,e867
border_all,editor,,e228
border_bottom,editor,,e229
border_clear,editor,,e22a
border_color,editor,,e22b
border_horizontal,editor,,e22c
border_inner,editor,,e22d
border_left,editor,,e22e
border_outer,editor,,e22f
border_right,editor,,e230
border_style,editor,,e231
border_top,editor,,e232
border_vertical,editor,,e233
branding_watermark,av,,e06b
brightness_1,image,,e3a6
brightness_2,image,,e3a7
brightness_3,image,,e3a8
brightness_4,image,,e3a9
brightness_5,image,,e3aa
brightness_6,image,,e3ab
brightness_7,image,,e3ac
brightness_auto,device,,e1ab
brightness_high,device,,e1ac
brightness_low,device,,e1ad
brightness_medium,device,,e1ae
broken_image,image,,e3ad
brush,image,,e3ae
bubble_chart,editor,,e6dd
bug_report,action,,e868
build,action,,e869
burst_mode,image,,e43c
business,communication,,e0af
business_center,places,,eb3f
cached,action,,e86a
cake,social,,e7e9
call,communication,,e0b0
call_end,communication,,e0b1
call_made,communication,,e0b2
call_merge,communication,,e0b3
call_missed,communication,,e0b4
call_missed_outgoing,communication,,e0e4
call_received,communication,,e0b5
call_split,communication,,e0b6
call_to_action,av,,e06c
camera,image,,e3af
camera_alt,image,,e3b0
camera_enhance,action,,e8fc
camera_front,image,,e3b1
camera_rear,image,,e3b2
camera_roll,image,,e3b3
cancel,navigation,,e5c9
card_giftcard,action,,e8f6
card_membership,action,,e8f7
card_travel,action,,e8f8
casino,places,,eb40
cast,hardware,,e307
cast_connected,hardware,,e308
center_focus_strong,image,,e3b4
center_focus_weak,image,,e3b5
change_history,action,,e86b
chat,communication,,e0b7
chat_bubble,communication,,e0ca
chat_bubble_outline,communication,,e0cb
check,navigation,,e5ca
check_box,toggle,,e834
check_box_outline_blank,toggle,,e835
check_circle,action,,e86c
chevron_left,navigation,,e5cb
chevron_right,navigation,,e5cc
child_care,places,,eb41
child_friendly,places,,eb42
chrome_reader_mode,action,,e86d
class,action,,e86e
clear,content,,e14c
clear_all,communication,,e0b8
close,navigation,,e5cd
closed_caption,av,,e01c
cloud,file,,e2bd
cloud_circle,file,,e2be
cloud_done,file,,e2bf
cloud_download,file,,e2c0
cloud_off,file,,e2c1
cloud_queue,file,,e2c2
cloud_upload,file,,e2c3
code,action,,e86f
collections,image,,e3b6
collections_bookmark,image,,e431
color_lens,image,,e3b7
colorize,image,,e3b8
comment,communication,,e0b9
compare,image,,e3b9
compare_arrows,action,,e915
computer,hardware,,e30a
confirmation_number,notification,,e638
contact_mail,communication,,e0d0
contact_phone,communication,,e0cf
contacts,communication,,e0ba
content_copy,content,,e14d
content_cut,content,,e14e
content_paste,content,,e14f
control_point,image,,e3ba
control_point_duplicate,image,,e3bb
copyright,action,,e90c
create,content,,e150
create_new_folder,file,,e2cc
credit_card,action,,e870
crop,image,,e3be
crop_16_9,image,,e3bc
crop_3_2,image,,e3bd
crop_5_4,image,,e3bf
crop_7_5,image,,e3c0
crop_din,image,,e3c1
crop_free,image,,e3c2
crop_landscape,image,,e3c3
crop_original,image,,e3c4
crop_portrait,image,,e3c5
crop_rotate,image,,e437
crop_square,image,,e3c6
dashboard,action,,e871
data_usage,device,,e1af
date_range,action,,e916
dehaze,image,,e3c7
delete,action,,e872
delete_forever,action,,e92b
delete_sweep,content,,e16c
description,action,,e873
desktop_mac,hardware,,e30b
desktop_windows,hardware,,e30c
details,image,,e3c8
developer_board,hardware,,e30d
developer_mode,device,,e1b0
device_hub,hardware,,e335
devices,device,,e1b1
devices_other,hardware,,e337
dialer_sip,communication,,e0bb
dialpad,communication,,e0bc
directions,maps,,e52e
directions_bike,maps,,e52f
directions_boat,maps,,e532
directions_bus,maps,,e530
directions_car,maps,,e531
directions_railway,maps,,e534
directions_run,maps,,e566
directions_subway,maps,,e533
directions_transit,maps,,e535
directions_walk,maps,,e536
disc_full,notification,,e610
dns,action,,e875
do_not_disturb,action,,e612
do_not_disturb_alt,action,,e611
do_not_disturb_off,action,,e643
do_not_disturb_on,action,,e644
dock,hardware,,e30e
domain,action,,e7ee
done,action,,e876
done_all,action,,e877
donut_large,action,,e917
donut_small,action,,e918
drafts,content,,e151
drag_handle,editor,,e25d
drive_eta,notification,,e613
dvr,device,,e1b2
edit,image,,e3c9
edit_location,action,,e568
eject,action,,e8fb
email,communication,,e0be
enhanced_encryption,notification,,e63f
equalizer,av,,e01d
error,alert,,e000
error_outline,alert,,e001
euro_symbol,action,,e926
ev_station,maps,,e56d
event,action,,e878
event_available,notification,,e614
event_busy,notification,,e615
event_note,notification,,e616
event_seat,action,,e903
exit_to_app,action,,e879
expand_less,navigation,,e5ce
expand_more,navigation,,e5cf
explicit,av,,e01e
explore,action,,e87a
exposure,image,,e3ca
exposure_neg_1,image,,e3cb
exposure_neg_2,image,,e3cc
exposure_plus_1,image,,e3cd
exposure_plus_2,image,,e3ce
exposure_zero,image,,e3cf
extension,action,,e87b
face,action,,e87c
fast_forward,av,,e01f
fast_rewind,av,,e020
favorite,action,,e87d
favorite_border,action,,e87e
featured_play_list,av,,e06d
featured_video,av,,e06e
feedback,action,,e87f
fiber_dvr,av,,e05d
fiber_manual_record,av,,e061
fiber_new,av,,e05e
fiber_pin,av,,e06a
fiber_smart_record,av,,e062
file_download,action,,e2c4
file_upload,action,,e2c6
filter,image,,e3d3
filter_1,image,,e3d0
filter_2,image,,e3d1
filter_3,image,,e3d2
filter_4,image,,e3d4
filter_5,image,,e3d5
filter_6,image,,e3d6
filter_7,image,,e3d7
filter_8,image,,e3d8
filter_9,image,,e3d9
filter_9_plus,image,,e3da
filter_b_and_w,image,,e3db
filter_center_focus,image,,e3dc
filter_drama,image,,e3dd
filter_frames,image,,e3de
filter_hdr,image,,e3df
filter_list,content,,e152
filter_none,image,,e3e0
filter_tilt_shift,image,,e3e2
filter_vintage,image,,e3e3
find_in_page,action,,e880
find_replace,action,,e881
fingerprint,action,,e90d
first_page,navigation,,e5dc
fitness_center,places,,eb43
flag,content,,e153
flare,image,,e3e4
flash_auto,image,,e3e5
flash_off,image,,e3e6
flash_on,image,,e3e7
flight,maps,,e539
flight_land,action,,e904
flight_takeoff,action,,e905
flip,image,,e3e8
flip_to_back,action,,e882
flip_to_front,action,,e883
folder,file,,e2c7
folder_open,file,,e2c8
folder_shared,file,,e2c9
folder_special,notification,,e617
font_download,content,,e167
format_align_center,editor,,e234
format_align_justify,editor,,e235
format_align_left,editor,,e236
format_align_right,editor,,e237
format_bold,editor,,e238
format_clear,editor,,e239
format_color_fill,editor,,e23a
format_color_reset,editor,,e23b
format_color_text,editor,,e23c
format_indent_decrease,editor,,e23d
format_indent_increase,editor,,e23e
format_italic,editor,,e23f
format_line_spacing,editor,,e240
format_list_bulleted,editor,,e241
format_list_numbered,editor,,e242
format_paint,editor,,e243
format_quote,editor,,e244
format_shapes,editor,,e25e
format_size,editor,,e245
format_strikethrough,editor,,e246
