short_name,categories,character,unicode
3d_rotation,action,,E84D
accessibility,action,,E84E
accessibility_new,action,,E92C
accessible,action,,E914
accessible_forward,action,,E934
account_balance,action,,E84F
account_balance_wallet,action,,E850
account_box,action,,E851
account_circle,action,,E853
account_tree,action,,E97A
add_shopping_cart,action,,E854
alarm,action,,E855
alarm_add,action,,E856
alarm_off,action,,E857
alarm_on,action,,E858
all_inbox,action,,E97F
all_out,action,,E90B
android,action,,E859
announcement,action,,E85A
approval,action,,E982
arrow_right_alt,action,,E941
aspect_ratio,action,,E85B
assessment,action,,E85C
assignment,action,,E85D
assignment_ind,action,,E85E
assignment_late,action,,E85F
assignment_return,action,,E860
assignment_returned,action,,E861
assignment_turned_in,action,,E862
autorenew,action,,E863
backup,action,,E864
badge,action,,EA67
bolt,action,,EA0B
book,action,,E865
bookmark,action,,E866
bookmark_border,action,,E867
bookmark_outline,action,,E867
bookmarks,action,,E98B
bug_report,action,,E868
build,action,,E869
business_center,action,,EB3F
calendar_today,action,,E935
calendar_view_day,action,,E936
camera_enhance,action,,E8FC
cancel_schedule_send,action,,EA39
card_giftcard,action,,E8F6
card_membership,action,,E8F7
card_travel,action,,E8F8
cases,action,,E992
change_history,action,,E86B
check_circle,action,,E86C
check_circle_outline,action,,E92D
chrome_reader_mode,action,,E86D
class,action,,E86E
code,action,,E86F
commute,action,,E940
compare_arrows,action,,E915
compress,action,,E94D
contact_support,action,,E94C
contactless,action,,EA71
copyright,action,,E90C
credit_card,action,,E870
dashboard,action,,E871
dashboard_customize,action,,E99B
date_range,action,,E916
delete,action,,E872
delete_forever,action,,E92B
delete_outline,action,,E92E
description,action,,E873
dnd_forwardslash,action,,E611
dns,action,,E875
do_not_disturb,action,,E612
do_not_disturb_alt,action,,E611
do_not_disturb_off,action,,E643
do_not_disturb_on,action,,E644
domain,action,,E7EE
done,action,,E876
done_all,action,,E877
done_outline,action,,E92F
donut_large,action,,E917
donut_small,action,,E918
drag_indicator,action,,E945
eco,action,,EA35
edit_location,action,,E568
eject,action,,E8FB
euro,action,,EA15
euro_symbol,action,,E926
event,action,,E878
event_seat,action,,E903
exit_to_app,action,,E879
explore,action,,E87A
explore_off,action,,E9A8
extension,action,,E87B
face,action,,E87C
favorite,action,,E87D
favorite_border,action,,E87E
