image,new_puas,old_puas,unicodes,glyph_order,priority,in_system_font,ready_for_api,blacklist_apple_only,non_modifiable,naming_duplicates,added_in_build,short_name,base_name,extension,shape_variant,fill_variant,rtl_extension,base_glyph_shapes,base_glyph_fill,corona_mapping,lowercase_alignment_group,shortcut,apple_action,apple_entity,semantic_shape_variant,semantic_name_1,semantic_name_01,semantic_name_2,semantic_name_02,semantic_name_3,semantic_name_03,deprecated_name_1,navigation_bar_and_toolbar_icons,written_name,category_old,category_broad,category_specific,category_new,additional_search_metadata,primary_app,ships_in_mini_bars_in_tigris,rtl_variant,mirror_icon_for_rtl,notes,character_auto,character,protected_symbol_notes,,,,,,,,
,100202,E152,XXXXX,0.00,,FALSE,TRUE,FALSE,FALSE,,15.0d1e20,square.and.arrow.up,square,,and.arrow.up,,,XXXXX,XXXXX,XXXXX,NO,,share; action on 1 item,,,share,share,,,,,,action,Export,arrow,shape,arrow,,,UI Kit,Yes,,FALSE,,􀈂,􀈂,,,,,,,,,
,100203,EAC0,XXXXX,1.00,,FALSE,TRUE,FALSE,FALSE,,15.0d1e20,square.and.arrow.up.fill,square,,and.arrow.up,fill,,XXXXX,100202,XXXXX,NO,,share; action on 1 item,,,share,share.fill,,,,,,,,arrow,shape,arrow,,,,,,FALSE,,􀈃,􀈃,,,,,,,,,
,100204,E176,XXXXX,2.00,,FALSE,TRUE,FALSE,FALSE,,15.0d1e20,square.and.arrow.down,square,,and.arrow.down,,,XXXXX,XXXXX,XXXXX,NO,,import; download; save item to device,,,download,download,,,,,,,Import,arrow,shape,arrow,,,iMovie,,,FALSE,,􀈄,􀈄,,,,,,,,,
,100205,EAC1,XXXXX,3.00,,FALSE,TRUE,FALSE,FALSE,,15.0d1e20,square.and.arrow.down.fill,square,,and.arrow.down,fill,,XXXXX,100204,XXXXX,NO,,import; download; save item to device,,,download,download.fill,,,,,,,,arrow,shape,arrow,,,,,,FALSE,,􀈅,􀈅,,,,,,,,,
,100206,YES,XXXXX,4.00,,FALSE,TRUE,FALSE,FALSE,,15.0d1e20,square.and.arrow.up.on.square,square,,and.arrow.up.on.square,,,XXXXX,XXXXX,XXXXX,NO,,share; action on multiple items,,,share.multiple,share.multiple,,,,,,,,arrow,shape,arrow,,,,,,FALSE,,􀈆,􀈆,,,,,,,,,
,100207,YES,XXXXX,5.00,,FALSE,TRUE,FALSE,FALSE,,15.0d1e20,square.and.arrow.up.on.square.fill,square,,and.arrow.up.on.square,fill,,XXXXX,100206,XXXXX,NO,,share; action on multiple items,,,share.multiple,share.multiple.fill,,,,,,,,arrow,shape,arrow,,,,,,FALSE,,􀈇,􀈇,,,,,,,,,
,100208,YES,XXXXX,6.00,,FALSE,TRUE,FALSE,FALSE,,15.0d1e20,square.and.arrow.down.on.square,square,,and.arrow.down.on.square,,,XXXXX,XXXXX,XXXXX,NO,,import; download; save items to device,,,download.multiple,download.multiple,,,,,,,,arrow,shape,arrow,,,,,,FALSE,,􀈈,􀈈,,,,,,,,,
,100209,YES,XXXXX,7.00,,FALSE,TRUE,FALSE,FALSE,,15.0d1e20,square.and.arrow.down.on.square.fill,square,,and.arrow.down.on.square,fill,,XXXXX,100208,XXXXX,NO,,import; download; save items to device,,,download.multiple,download.multiple.fill,,,,,,,,arrow,shape,arrow,,,,,,FALSE,,􀈉,􀈉,,,,,,,,,
,10020A,EA2B,XXXXX,8.00,,FALSE,TRUE,FALSE,FALSE,,15.0d1e20,pencil,pencil,,,,,XXXXX,XXXXX,XXXXX,NO,,edit,,,edit,edit,,,,,,,Pencil,object - misc.; action - edit,object,tool,,,,,,FALSE,,􀈊,􀈊,,,,,,,,,
,10020B,E8B4,XXXXX,9.00,,FALSE,TRUE,FALSE,FALSE,,15.0d1e20,pencil.circle,pencil,,circle,,,10020A,XXXXX,XXXXX,NO,,edit,,circle,edit,edit.circle,,,,,,,,object - misc.; action - edit,object,tool,,,,,,FALSE,,􀈋,􀈋,,,,,,,,,
