additional_search_metadata,categories,glyph_order,NEW_PUAs,Non_modifiable,protected_symbol_notes,RTL_extension,semantic_name_1,semantic_name_2,semantic_name_3,short_name,character,unicodes
,,0,100202,FALSE,,,share,,,square.and.arrow.up,􀈂,XXXXX
,,1,100203,FALSE,,,share.fill,,,square.and.arrow.up.fill,􀈃,XXXXX
,,2,100204,FALSE,,,download,,,square.and.arrow.down,􀈄,XXXXX
,,3,100205,FALSE,,,download.fill,,,square.and.arrow.down.fill,􀈅,XXXXX
,,4,100206,FALSE,,,share.multiple,,,square.and.arrow.up.on.square,􀈆,XXXXX
,,5,100207,FALSE,,,share.multiple.fill,,,square.and.arrow.up.on.square.fill,􀈇,XXXXX
,,6,100208,FALSE,,,download.multiple,,,square.and.arrow.down.on.square,􀈈,XXXXX
,,7,100209,FALSE,,,download.multiple.fill,,,square.and.arrow.down.on.square.fill,􀈉,XXXXX
,"objects & tools, editing",8,10020A,FALSE,,,edit,,,pencil,􀈊,XXXXX
,"objects & tools, editing",9,10020B,FALSE,,,edit.circle,,,pencil.circle,􀈋,XXXXX
,"objects & tools, editing",10,10020C,FALSE,,,edit.circle.fill,,,pencil.circle.fill,􀈌,XXXXX
,"objects & tools, editing",11,10020D,FALSE,,,not.editable,,,pencil.slash,􀈍,XXXXX
,"objects & tools, editing",12,10020E,FALSE,,,compose,,,square.and.pencil,􀈎,XXXXX
,objects & tools,13,10020F,FALSE,,,autofill,,,pencil.and.ellipsis.rectangle,􀈏,XXXXX
,"objects & tools, editing",14,100210,FALSE,,,annotate,,,pencil.and.outline,􀈐,XXXXX
,objects & tools,15,100211,FALSE,,,trash,,,trash,􀈑,XXXXX
,"objects & tools, editing",15,10020F,FALSE,,,autofill,,,rectangle.and.pencil.and.ellipsis,􀈏,XXXXX
,objects & tools,16,100212,FALSE,,,trash.fill,,,trash.fill,􀈒,XXXXX
,objects & tools,17,100213,FALSE,,,trash.circle,,,trash.circle,􀈓,XXXXX
,objects & tools,18,100214,FALSE,,,trash.circle.fill,,,trash.circle.fill,􀈔,XXXXX
,editing,18,100911,FALSE,,,,,,scribble.variable,􀤑,XXXXX
,objects & tools,19,100727,FALSE,,,,,,trash.slash,􀜧,NO
,objects & tools,20,100728,FALSE,,,,,,trash.slash.fill,􀜨,NO
,objects & tools,21,100215,FALSE,,,move,,,folder,􀈕,XXXXX
,objects & tools,22,100216,FALSE,,,move.fill,,,folder.fill,􀈖,XXXXX
,"objects & tools, editing",22,100987,FALSE,,,,,,highlighter,􀦇,XXXXX
,objects & tools,23,100217,FALSE,,,move.circle,,,folder.circle,􀈗,XXXXX
,objects & tools,24,100218,FALSE,,,move.circle.fill,,,folder.circle.fill,􀈘,XXXXX
,objects & tools,25,100219,FALSE,,,new.folder,,,folder.badge.plus,􀈙,XXXXX
,objects & tools,26,10021A,FALSE,,,new.folder,,,folder.fill.badge.plus,􀈚,XXXXX
,objects & tools,27,10021B,FALSE,,,new.folder,,,folder.badge.minus,􀈛,XXXXX
,objects & tools,28,10021C,FALSE,,,new.folder,,,folder.fill.badge.minus,􀈜,XXXXX
,,28,1009DA,FALSE,,,,,,pencil.tip.crop.circle.badge.arrow.forward,􀧚,XXXXX
,objects & tools,29,10021D,FALSE,,,,,,folder.badge.person.crop,􀈝,XXXXX
,objects & tools,30,10021E,FALSE,,,,,,folder.fill.badge.person.crop,􀈞,XXXXX
,"objects & tools, editing",30,1008F3,FALSE,,,,,,lasso.sparkles,􀣳,XXXXX
,objects & tools,31,10021F,FALSE,,,send,,,paperplane,􀈟,XXXXX
,objects & tools,32,100220,FALSE,,,send.fill,,,paperplane.fill,􀈠,XXXXX
,objects & tools,35,100223,FALSE,,,mailbox,,,tray,􀈣,XXXXX
,objects & tools,36,100224,FALSE,,,mailbox.fill,,,tray.fill,􀈤,XXXXX
,objects & tools,39,100225,FALSE,,,outbox,,,tray.and.arrow.up,􀈥,XXXXX
,objects & tools,40,100226,FALSE,,,outbox.fill,,,tray.and.arrow.up.fill,􀈦,XXXXX
,objects & tools,41,100227,FALSE,,,inbox,,,tray.and.arrow.down,􀈧,XXXXX
,objects & tools,42,100228,FALSE,,,inbox.fill,,,tray.and.arrow.down.fill,􀈨,XXXXX
,objects & tools,43,100229,FALSE,,,all.mailboxes,,,tray.2,􀈩,XXXXX
