additional_search_metadata,categories,glyph_order,NEW_PUAs,Non_modifiable,private,protected_symbol_notes,RTL_extension,semantic_name_1,semantic_name_2,semantic_name_3,semantic_name_4,semantic_name_5,semantic_name_6,semantic_name_7,semantic_name_8,short_name,aliases,character,unicodes,availability
"export, share, upload",,1,100202,TRUE,FALSE,,,export,share,upload,,,,,,square.and.arrow.up,,􀈂,XXXXX,2019
"export, share, share.fill, upload",,2,100203,TRUE,FALSE,,,export,share,share.fill,upload,,,,,square.and.arrow.up.fill,,􀈃,XXXXX,2019
"export, upload, warning","multicolor, whatsnew",3,10109A,TRUE,FALSE,,,export,upload,warning,,,,,,square.and.arrow.up.trianglebadge.exclamationmark,,􁂚,XXXXX,2021
"download, import, save",,4,100204,TRUE,FALSE,,,download,import,save,,,,,,square.and.arrow.down,,􀈄,XXXXX,2019
"download, download.fill, import, save",,5,100205,TRUE,FALSE,,,download,download.fill,import,save,,,,,square.and.arrow.down.fill,,􀈅,XXXXX,2019
"export, share.multiple, upload",,6,100206,TRUE,FALSE,,,export,share.multiple,upload,,,,,,square.and.arrow.up.on.square,,􀈆,XXXXX,2019
"export, share.multiple.fill, upload",,7,100207,TRUE,FALSE,,,export,share.multiple.fill,upload,,,,,,square.and.arrow.up.on.square.fill,,􀈇,XXXXX,2019
"download, download.multiple, import, save",,8,100208,TRUE,FALSE,,,download,download.multiple,import,save,,,,,square.and.arrow.down.on.square,,􀈈,XXXXX,2019
"download, download.multiple.fill, import, save",,9,100209,TRUE,FALSE,,,download,download.multiple.fill,import,save,,,,,square.and.arrow.down.on.square.fill,,􀈉,XXXXX,2019
,whatsnew,10,100EF5,TRUE,FALSE,,,,,,,,,,,rectangle.portrait.and.arrow.right,,􀻵,XXXXX,2021
,whatsnew,11,100EF6,TRUE,FALSE,,,,,,,,,,,rectangle.portrait.and.arrow.right.fill,,􀻶,XXXXX,2021
"edit, rename, write, writing","editing, objectsandtools",12,10020A,TRUE,FALSE,,,edit,rename,write,writing,,,,,pencil,,􀈊,XXXXX,2019
"edit.circle, write, writing","editing, objectsandtools",13,10020B,TRUE,FALSE,,,edit.circle,write,writing,,,,,,pencil.circle,,􀈋,XXXXX,2019
"edit.circle.fill, write, writing","editing, multicolor, objectsandtools",14,10020C,TRUE,FALSE,,,edit.circle.fill,write,writing,,,,,,pencil.circle.fill,,􀈌,XXXXX,2019
"not.editable, remove, write, writing","editing, objectsandtools",15,10020D,TRUE,FALSE,,,not.editable,remove,write,writing,,,,,pencil.slash,,􀈍,XXXXX,2019
"compose, mail, write, writing","editing, objectsandtools",16,10020E,TRUE,FALSE,,,compose,mail,write,writing,,,,,square.and.pencil,,􀈎,XXXXX,2019
"autofill, write, writing","editing, objectsandtools",17,10020F,TRUE,FALSE,,rtl,autofill,write,writing,,,,,,rectangle.and.pencil.and.ellipsis,pencil.and.ellipsis.rectangle,􀈏,XXXXX,2020
draw,editing,19,1.00E+11,TRUE,FALSE,,,draw,,,,,,,,scribble,,􀓨,XXXXX,2019
,editing,20,100911,TRUE,FALSE,,,,,,,,,,,scribble.variable,,􀤑,XXXXX,2020
"write, writing","editing, objectsandtools",21,100987,TRUE,FALSE,,,write,writing,,,,,,,highlighter,,􀦇,XXXXX,2020
"annotate, write, writing","editing, objectsandtools",22,100210,TRUE,FALSE,,,annotate,write,writing,,,,,,pencil.and.outline,,􀈐,XXXXX,2019
"write, writing","editing, objectsandtools",23,10048B,TRUE,FALSE,This symbol may not be modified and may only be used to refer to Apple’s Markup feature.,,write,writing,,,,,,,pencil.tip,,􀒋,XXXXX,2019
"markup, write, writing","editing, objectsandtools",24,100265,TRUE,FALSE,This symbol may not be modified and may only be used to refer to Apple’s Markup feature.,,markup,write,writing,,,,,,pencil.tip.crop.circle,,􀉥,XXXXX,2019
"+, add, add.markup, write, writing","editing, multicolor, objectsandtools",25,100266,TRUE,FALSE,This symbol may not be modified and may only be used to refer to Apple’s Markup feature.,,+,add,add.markup,write,writing,,,,pencil.tip.crop.circle.badge.plus,,􀉦,XXXXX,2019
"-, remove, remove.markup, write, writing","editing, multicolor, objectsandtools",26,100267,TRUE,FALSE,This symbol may not be modified and may only be used to refer to Apple’s Markup feature.,,-,remove,remove.markup,write,writing,,,,pencil.tip.crop.circle.badge.minus,,􀉧,XXXXX,2019
"write, writing","editing, objectsandtools",27,1009DA,TRUE,FALSE,This symbol may not be modified and may only be used to refer to Apple’s Markup feature.,,write,writing,,,,,,,pencil.tip.crop.circle.badge.arrow.forward,,􀧚,XXXXX,2020
lasso.select,"editing, objectsandtools",28,1.00E+12,TRUE,FALSE,,,lasso.select,,,,,,,,lasso,,􀓩,XXXXX,2019
,"editing, objectsandtools, whatsnew",29,1008F3,TRUE,FALSE,,,,,,,,,,,lasso.and.sparkles,lasso.sparkles,􀣳,XXXXX,2021
"mail, trash","multicolor, objectsandtools",30,100211,TRUE,FALSE,,,mail,trash,,,,,,,trash,,􀈑,XXXXX,2019
"mail, trash, trash.fill","multicolor, objectsandtools",31,100212,TRUE,FALSE,,,mail,trash,trash.fill,,,,,,trash.fill,,􀈒,XXXXX,2019
"mail, trash, trash.circle","multicolor, objectsandtools",32,100213,TRUE,FALSE,,,mail,trash,trash.circle,,,,,,trash.circle,,􀈓,XXXXX,2019
"mail, trash, trash.circle.fill","multicolor, objectsandtools",33,100214,TRUE,FALSE,,,mail,trash,trash.circle.fill,,,,,,trash.circle.fill,,􀈔,XXXXX,2019
,"multicolor, objectsandtools, whatsnew",34,100F3D,TRUE,FALSE,,,,,,,,,,,trash.square,,􀼽,XXXXX,2021
,"multicolor, objectsandtools, whatsnew",35,100F3E,TRUE,FALSE,,,,,,,,,,,trash.square.fill,,􀼾,XXXXX,2021
remove,"multicolor, objectsandtools",36,100727,TRUE,FALSE,,,remove,,,,,,,,trash.slash,,􀜧,XXXXX,2019
remove,"multicolor, objectsandtools",37,100728,TRUE,FALSE,,,remove,,,,,,,,trash.slash.fill,,􀜨,XXXXX,2019
remove,"multicolor, objectsandtools, whatsnew",38,100FCD,TRUE,FALSE,,,remove,,,,,,,,trash.slash.circle,,􀿍,XXXXX,2021
